ID,Block1,Block2,Block3,Block4
1,Select_With_Feedback,Select_No_Feedback,Observe_With_Feedback,Observe_No_Feedback
2,Select_No_Feedback,Observe_No_Feedback,Observe_With_Feedback,Select_With_Feedback
3,Observe_No_Feedback,Select_With_Feedback,Observe_With_Feedback,Select_No_Feedback
4,Observe_With_Feedback,Observe_No_Feedback,Select_No_Feedback,Select_With_Feedback
5,Select_No_Feedback,Select_With_Feedback,Observe_No_Feedback,Observe_With_Feedback
6,Observe_With_Feedback,Observe_No_Feedback,Select_With_Feedback,Select_No_Feedback
7,Observe_No_Feedback,Select_No_Feedback,Select_With_Feedback,Observe_With_Feedback
8,Select_With_Feedback,Observe_With_Feedback,Select_No_Feedback,Observe_No_Feedback
9,Select_With_Feedback,Observe_No_Feedback,Observe_With_Feedback,Select_No_Feedback
10,Observe_No_Feedback,Select_No_Feedback,Observe_With_Feedback,Select_With_Feedback
11,Select_With_Feedback,Observe_No_Feedback,Select_No_Feedback,Observe_With_Feedback
12,Select_No_Feedback,Observe_With_Feedback,Select_With_Feedback,Observe_No_Feedback
13,Observe_No_Feedback,Observe_With_Feedback,Select_With_Feedback,Select_No_Feedback
14,Observe_With_Feedback,Select_With_Feedback,Observe_No_Feedback,Select_No_Feedback
15,Select_With_Feedback,Select_No_Feedback,Observe_No_Feedback,Observe_With_Feedback
16,Observe_No_Feedback,Observe_With_Feedback,Select_No_Feedback,Select_With_Feedback
17,Observe_With_Feedback,Select_No_Feedback,Select_With_Feedback,Observe_No_Feedback
18,Select_No_Feedback,Select_With_Feedback,Observe_With_Feedback,Observe_No_Feedback
19,Select_No_Feedback,Observe_With_Feedback,Observe_No_Feedback,Select_With_Feedback
20,Observe_With_Feedback,Select_With_Feedback,Select_No_Feedback,Observe_No_Feedback
21,Select_No_Feedback,Observe_No_Feedback,Select_With_Feedback,Observe_With_Feedback
22,Observe_With_Feedback,Select_No_Feedback,Observe_No_Feedback,Select_With_Feedback
23,Observe_No_Feedback,Select_With_Feedback,Select_No_Feedback,Observe_With_Feedback
24,Select_With_Feedback,Observe_With_Feedback,Observe_No_Feedback,Select_No_Feedback
